id,slug,name,craftTitle,masterName,category,city,district,neighborhood,address,latitude,longitude,phone,whatsapp,rating,reviewCount,tier,minPrice,maxPrice,experienceYears,priceNote
nurtepe-oto-1,nurtepe-express-oto-bakim-lastik,Nurtepe Express Oto Bakım & Lastik,Periyodik Bakım Balata & Lastik Servisi,Ersin Usta,oto-bakim,İstanbul,Kağıthane,Nurtepe,Nurtepe Mah. Açıkyüz Cad. No:18 (Viyadük Yanı),41.0775,28.9665,0212 555 01 01,905550000101,4.9,78,plus,350,2400,18,Şeffaf yedek parça ve işçilik garantisi verilir.
nurtepe-berber-1,nurtepe-stil-erkek-kuaforu,Nurtepe Stil Erkek Kuaförü & Sakal,Klasik Makas Tıraşı & Cilt Bakımı,Serkan Usta,berber-kuafor,İstanbul,Kağıthane,Nurtepe,Nurtepe Mah. Sokullu Cad. No:8,41.0782,28.9658,0212 555 01 02,905550000102,4.9,94,plus,180,650,15,Tek kullanımlık havlu ve steril ekipman kullanılır.
gultepe-vet-1,gultepe-veteriner-klinigi-kagithane,Gültepe Veteriner Kliniği,7/24 Acil Müdahale & Cerrahi Veteriner Merkezi,Vet. Hekim Tolga Bey,pet-kuafor,İstanbul,Kağıthane,Gültepe (Ortabayır),Ortabayır Mah. Sarıgöl Cad. Şair Çelebi Sok. No:44,41.0780,28.9950,0212 555 01 03,905550000103,4.8,112,plus,400,2200,14,Gece acil nöbetlerinde ve gündüz işlemlerinde şeffaf tarife uygulanır.
kagithane-cilingir-1,kagithane-merkez-cilingir-kilit,Kağıthane Merkez Çilingir & Kilit,Hasarsız Kapı Açma & Yüksek Güvenlikli Bareller,Usta Murat,acil-ev,İstanbul,Kağıthane,Merkez,Merkez Mah. Eyüp Sultan Cad. No:12,41.0820,28.9730,0212 555 01 04,905550000104,4.9,135,plus,300,1200,22,Kilit montajında kale ve mul-t-lock ürünleri kullanılır.
celiktepe-terzi-1,celiktepe-lostra-terzi-atolyesi,Çeliktepe Lostra & Terzi Atölyesi,Paça Daraltma & Deri Ayakkabı Bakımı,Recep Usta,terzi-lostra,İstanbul,Kağıthane,Çeliktepe,Çeliktepe Mah. İnönü Cad. No:31,41.0850,29.0020,0212 555 01 05,905550000105,4.7,64,standard,120,800,20,Orijinal dikiş garantisi ve lostra boya yenileme.
seyrantepe-oto-1,seyrantepe-oto-elektrik-mekanik,Seyrantepe Oto Elektrik & Bilgisayarlı Arıza,Akü Şarj Dinamo & Klima Gazı Dolumu,Vedat Usta,oto-bakim,İstanbul,Kağıthane,Seyrantepe,Seyrantepe Mah. İbrahim Karaoğlanoğlu Cad. No:52,41.1000,28.9950,0212 555 01 06,905550000106,4.8,88,standard,250,1800,16,Bilgisayarlı OBD arıza tespiti ve orijinal yedek parça.
etiler-adem-terzi-1,adem-terzi-barbers-club-etiler,Adem Terzi Barber's Club,Özel Saç Tasarımı & Damat Tıraşı,Adem Usta,berber-kuafor,İstanbul,Beşiktaş,Etiler,Akat Mah. Tepecik Yolu Cad. No:24,41.0840,29.0320,0212 555 01 07,905550000107,4.9,320,plus,500,2500,25,Kişiye özel stil analizi ve VIP bakım kabinleri.
akaretler-berber-1,akaretler-salon-salih-erkek-kuaforu,Akaretler Salon Salih Erkek Kuaförü,Geleneksel Ustura Tıraşı & Saç Kesimi,Salih Berber,berber-kuafor,İstanbul,Beşiktaş,Akaretler (Vişnezade),Süleyman Seba Cad. No:42,41.0410,28.9995,0212 555 01 08,905550000108,4.8,142,plus,200,900,19,Sıcak havlu kompresi ve organik saç bakım ürünleri.
besiktas-zen-vet-1,besiktas-zen-veteriner-klinigi,Beşiktaş Zen Veteriner Kliniği,Uzman Veteriner Hekimlik & Koruyucu Sağlık,Vet. Hekim Burak Bey,pet-kuafor,İstanbul,Beşiktaş,Sinanpaşa (Köyiçi),Ihlamurdere Cad. Şair Leyla Sok. No:14,41.0425,29.0065,0212 555 01 09,905550000109,5.0,186,plus,450,2800,16,Aşı karne takibi ve ultrasonlu dahiliye teşhisi.
dusi-pet-besiktas-1,dusi-pet-kuafor-gayrettepe,DuSi Pet Kuaför & Bakım Salonu,Anestezisiz Kedi Köpek Makas Tıraşı & Spa,Ceren Hanım,pet-kuafor,İstanbul,Beşiktaş,Gayrettepe,Gayrettepe Mah. Hoşsohbet Sok. No:7,41.0665,29.0125,0212 555 01 10,905550000110,4.9,98,plus,500,1600,8,Doğal şampuanlar ve ozonlu banyo terapisi.
besiktas-kadir-cilingir-1,usta-kadir-cilingir-anahtar,Usta Kadir Çilingir & Kilit Güvenlik,7/24 Acil Kilit Değişimi & Çelik Kapı Açma,Kadir Usta,acil-ev,İstanbul,Beşiktaş,Abbasağa,Abbasağa Mah. Yıldız Cad. No:35,41.0460,29.0080,0212 555 01 11,905550000111,5.0,210,plus,350,1400,24,TSE onaylı hırsız emniyetli tuzaklı bareller.
ortakoy-terzi-1,ortakoy-butik-terzi-lostra,Ortaköy Butik Terzi & Lostra,Özel Dikim Takım Daraltma & Lostra,Cemal Usta,terzi-lostra,İstanbul,Beşiktaş,Ortaköy,Ortaköy Mah. Dereboyu Cad. No:19,41.0500,29.0250,0212 555 01 12,905550000112,4.8,75,standard,150,950,28,İpek astarlı prova ve ayakkabı deri cilalama.
levent-detailing-1,levent-oto-yikama-detailing-studio,Levent Detailing Studio & Boya Koruma,Seramik Kaplama Detaylı İç Dış Yıkama,Serhat Usta,oto-bakim,İstanbul,Beşiktaş,Levent,Nisbetiye Mah. Aytar Cad. No:11,41.0780,29.0130,0212 555 01 13,905550000113,4.9,115,plus,400,4500,12,Meguiar's ve Gyeon sertifikalı uygulama merkezi.
moda-terzi-hasan-1,hasan-usta-moda-terzisi,Hasan Usta Moda Butik Terzisi,38 Yıllık Mahalle Terzisi & Kumaş Ustası,Hasan Usta,terzi-lostra,İstanbul,Kadıköy,Moda (Caferağa),Caferağa Mah. Moda Cad. No:88/B,40.9855,29.0270,0212 555 01 14,905550000114,4.9,178,plus,150,1100,38,Klasik kumaş tadilatı ve elbise boy ölçülendirme.
kadikoy-mehmet-arda-1,mehmet-arda-erkek-kuaforu-kadikoy,Mehmet Arda Erkek Kuaförü & Sakal,Modern Saç Kesimi Sıcak Havlu & Bakım,Mehmet Usta,berber-kuafor,İstanbul,Kadıköy,Osmanağa,Osmanağa Mah. Söğütlüçeşme Cad. No:48,40.9910,29.0295,0212 555 01 15,905550000115,4.8,160,plus,220,750,14,Randevulu vip servis ve cilt yenileme maskeleri.
ata-pet-kadikoy-1,ata-pet-kuafor-bahariye-kadikoy,Ata Pet Kuaför & Bakım Atölyesi,Stres Yapmayan Pet Traşı & Tırnak Bakımı,Ata Bey,pet-kuafor,İstanbul,Kadıköy,Caferağa,Caferağa Mah. Sakızgülü Sok. No:16,40.9880,29.0285,0212 555 01 16,905550000116,4.9,204,plus,450,1500,11,Veteriner teknikeri gözetiminde sakin tıraş.
kadikoy-acibadem-cilingir-1,kadikoy-acibadem-acil-cilingir,Kadıköy Acıbadem Acil Çilingir & Anahtar,15 Dakikada Motorize Kapı Açma Servisi,Hüseyin Usta,acil-ev,İstanbul,Kadıköy,Acıbadem,Acıbadem Mah. Acıbadem Cad. No:64,41.0020,29.0430,0212 555 01 17,905550000117,4.9,192,plus,300,1100,17,Motorize ekiplerle Kadıköy ve Üsküdar genelinde 15 dk varış.
moda-bisiklet-1,moda-bisiklet-scooter-atolyesi,Moda Bisiklet & E-Scooter Atölyesi,Fren Vites Ayarı Batarya & Lastik Tamiri,Onur Usta,tamir-elektronik,İstanbul,Kadıköy,Moda,Caferağa Mah. Bademaltı Sok. No:12,40.9840,29.0260,0212 555 01 18,905550000118,4.8,110,standard,180,1200,9,Shimano vites ayarı ve Xiaomi scooter dolgu lastik.
kadikoy-lostra-1,kadikoy-lostra-salonu-deri-bakim,Kadıköy Lostra Salonu & Deri Restorasyon,Süet Deri Temizleme Taban Değişimi & Boya,Kenan Usta,terzi-lostra,İstanbul,Kadıköy,Rasimpaşa,Rasimpaşa Mah. Halitağa Cad. No:22,40.9940,29.0310,0212 555 01 19,905550000119,4.7,85,standard,140,850,26,Saphir Médaille d'Or Fransız deri cilaları kullanılır.
kiziltoprak-oto-1,kiziltoprak-oto-ekspertiz-bakim,Kızıltoprak Oto Ekspertiz & Mekanik,TSE Onaylı Dyno Testi & Periyodik Bakım,Yılmaz Usta,oto-bakim,İstanbul,Kadıköy,Zühtüpaşa (Kızıltoprak),Zühtüpaşa Mah. Bağdat Cad. No:92,40.9860,29.0390,0212 555 01 20,905550000120,4.8,130,standard,500,2900,15,4x4 Dyno güç testi ve fren testi raporlaması.
nisantasi-artizan-1,artizan-studio-nisantasi,Artizan Studio Saç & Sakal Tasarım,Premium Erkek Kuaförlüğü & Keratin Bakımı,Emre Usta,berber-kuafor,İstanbul,Şişli,Teşvikiye (Nişantaşı),Teşvikiye Mah. Ahmet Fetgari Sok. No:38,41.0520,28.9940,0212 555 01 21,905550000121,4.9,240,plus,400,1800,13,Kişiye özel saç kesimi ve saç derisi canlandırma.
bomonti-terzi-1,bomonti-terzi-kuru-temizleme,Bomonti Terzi & Ekolojik Kuru Temizleme,Kıyafet Tadilatı & Kokusuz Kuru Temizleme,Şevket Usta,terzi-lostra,İstanbul,Şişli,Bomonti,Cumhuriyet Mah. Silahşör Cad. No:45,41.0585,28.9810,0212 555 01 22,905550000122,4.8,92,standard,160,950,21,İtalyan organik temizleme solventleri ile hassas kumaş bakımı.
dogs-social-club-1,dogs-social-club-pet-kuafor-nisantasi,Dogs Social Club Pet Kuaför & Bakım,Show Kesimi SPA & Ozonlu Masaj Banyosu,Vet. Tekniker Melis Hanım,pet-kuafor,İstanbul,Şişli,Meşrutiyet (Nişantaşı),Meşrutiyet Mah. Rumeli Cad. No:58,41.0540,28.9890,0212 555 01 23,905550000123,4.9,155,plus,600,2400,10,Cins ırk standartlarına uygun profesyonel makas tıraşı.
mecidiyekoy-cilingir-1,mecidiyekoy-acil-cilingir-anahtar,Mecidiyeköy Acil Çilingir & Kasa Açma,Çelik Kapı Oto & Çelik Kasa Çilingiri,Fikret Usta,acil-ev,İstanbul,Şişli,Mecidiyeköy,Mecidiyeköy Mah. Büyükdere Cad. No:82,41.0660,28.9930,0212 555 01 24,905550000124,4.9,180,plus,300,1300,19,Elektronik şifreli kilit ve kumanda kopyalama servisi.
sisli-elektronik-1,sisli-kucuk-ev-aletleri-supurge-servisi,Şişli Küçük Ev Aletleri & Süpürge Atölyesi,Dyson Philips Espresso & Robot Süpürge Tamiri,Uğur Usta,tamir-elektronik,İstanbul,Şişli,Halaskargazi,Halaskargazi Mah. Halaskargazi Cad. No:114,41.0570,28.9870,0212 555 01 25,905550000125,4.8,140,standard,250,1900,16,Orijinal motor filtre ve elektronik kart revizyonu.
fulya-oto-1,fulya-express-oto-yikama-bakim,Fulya Express Detaylı Oto Yıkama & Cila,Buharlı İç Kuaför Koltuk Yıkama & Hızlı Cila,Metin Usta,oto-bakim,İstanbul,Şişli,Fulya,Fulya Mah. Prof. Dr. Bülent Tarcan Cad. No:18,41.0610,29.0010,0212 555 01 26,905550000126,4.7,95,standard,300,2100,11,pH nötr şampuanlarla çiziksiz çift kova yıkama tekniği.
beyoglu-ahmet-berber-1,ahmet-berber-salonu-istiklal-beyoglu,Ahmet Berber Salonu & Tıraş İstiklal,Tarihi Beyoğlu Berberliği & Fön Bakım,Ahmet Usta,berber-kuafor,İstanbul,Beyoğlu,Hüseyinağa (İstiklal),Hüseyinağa Mah. İstiklal Cad. Sahne Sok. No:8,41.0350,28.9780,0212 555 01 27,905550000127,4.8,210,plus,250,850,27,Nostaljik kolonyalı tıraş ve yüz masajı.
cihangir-vet-1,cihangir-veteriner-klinigi,Cihangir Veteriner Kliniği,Dahiliye Cerrahi & Koruyucu Hekimlik,Vet. Hekim Sinan Bey,pet-kuafor,İstanbul,Beyoğlu,Cihangir,Kılıçali Paşa Mah. Akarsu Yokuşu Sok. No:29,41.0330,28.9830,0212 555 01 28,905550000128,4.9,230,plus,400,2600,18,Cihangir sokak canlarına özel destek ve modern teşhis.
galata-cilingir-1,galata-cilingir-kasa-kilit-merkezi,Galata Çilingir & Kasa Açma Merkezi,Tarihi Bina Kilitleri & Modern Bareller,Selim Usta,acil-ev,İstanbul,Beyoğlu,Galata (Bereketzade),Bereketzade Mah. Camekan Sok. No:6,41.0255,28.9740,0212 555 01 29,905550000129,4.9,115,plus,350,1500,23,Tarihi kapılara hasar vermeden uzman kilit açımı.
karakoy-terzi-1,karakoy-terzi-deri-atolyesi,Karaköy Terzi & Deri Atölyesi,Deri Ceket Tamiri Paça & Fermuar Değişimi,İsmail Usta,terzi-lostra,İstanbul,Beyoğlu,Karaköy (Kemankeş),Kemankeş Karamustafa Paşa Mah. Mumhane Cad. No:33,41.0230,28.9790,0212 555 01 30,905550000130,4.8,84,standard,180,1200,31,Ağır iş derilerde profesyonel dikim makinesi.
cukurcuma-ahsap-1,cukurcuma-antika-ahsap-tamir-atolyesi,Çukurcuma Antika & Ahşap Tamir Atölyesi,Gomalak Cila Mobilya & Sandalye Restorasyonu,Yakup Usta,tamir-elektronik,İstanbul,Beyoğlu,Çukurcuma (Firuzağa),Firuzağa Mah. Çukurcuma Cad. No:51,41.0315,28.9795,0212 555 01 31,905550000131,4.9,76,standard,350,3000,35,Doğal gomalak el cilası ve masif ahşap kurtarma.
sultanahmet-barber-1,sultanahmet-barber-grooming,Sultanahmet Barber & Grooming,Geleneksel Türk Tıraşı Kulak Kılı Yakma & Masaj,Kadir Usta,berber-kuafor,İstanbul,Fatih,Sultanahmet (Küçük Ayasofya),Küçük Ayasofya Mah. Nakilbent Sok. No:15,41.0040,28.9750,0212 555 01 32,905550000132,4.9,350,plus,300,950,22,Tarihi yarımadada dünya standartlarında geleneksel tıraş.
